Etat de mer (9s ; 3m); Stratégie: amortissement avec écrêtage. 
Production sur 1000 s, Echantillonnage : 100 ms 
 
t (s) 	 Eta (m) 	 Theta (rad) 	 Omega (rad/s) 	 C (N.m) 
181.7  	 00.13280  	 -0.49038  	 00.14045  	 00561806 
181.8  	 00.09566  	 -0.47288  	 00.17494  	 00699772 
181.9  	 00.06737  	 -0.45214  	 00.20742  	 00829666 
182.0  	 00.04877  	 -0.42838  	 00.23762  	 00950485 
182.1  	 00.04000  	 -0.40184  	 00.26534  	 01061362 
182.2  	 00.04052  	 -0.37280  	 00.29039  	 01161570 
182.3  	 00.04901  	 -0.34154  	 00.31263  	 01250528 
182.4  	 00.06360  	 -0.30835  	 00.33195  	 01327791 
182.5  	 00.08192  	 -0.27352  	 00.34826  	 01393058 
182.6  	 00.10122  	 -0.23737  	 00.36154  	 01446160 
182.7  	 00.11862  	 -0.20019  	 00.37176  	 01487058 
182.8  	 00.13123  	 -0.16229  	 00.37896  	 01515840 
182.9  	 00.13637  	 -0.12398  	 00.38318  	 01532706 
183.0  	 00.13173  	 -0.08553  	 00.38449  	 01537969 
183.1  	 00.11554  	 -0.04723  	 00.38301  	 01532041 
183.2  	 00.08665  	 -0.00934  	 00.37886  	 01515423 
183.3  	 00.04464  	 00.02788  	 00.37217  	 01488692 
183.4  	 -0.01018  	 00.06419  	 00.36312  	 01452494 
183.5  	 -0.07676  	 00.09938  	 00.35188  	 01407522 
183.6  	 -0.15342  	 00.13324  	 00.33863  	 01354507 
183.7  	 -0.23785  	 00.16560  	 00.32355  	 01294203 
183.8  	 -0.32739  	 00.19628  	 00.30684  	 01227371 
183.9  	 -0.41906  	 00.22515  	 00.28869  	 01154768 
184.0  	 -0.50976  	 00.25208  	 00.26928  	 01077133 
184.1  	 -0.59655  	 00.27696  	 00.24879  	 00995179 
184.2  	 -0.67660  	 00.29970  	 00.22740  	 00909581 
184.3  	 -0.74755  	 00.32022  	 00.20524  	 00820970 
184.4  	 -0.80742  	 00.33847  	 00.18248  	 00729931 
184.5  	 -0.85484  	 00.35439  	 00.15925  	 00636999 
184.6  	 -0.88906  	 00.36796  	 00.13566  	 00542655 
184.7  	 -0.90986  	 00.37914  	 00.11183  	 00447336 
184.8  	 -0.91760  	 00.38793  	 00.08786  	 00351432 
184.9  	 -0.91314  	 00.39431  	 00.06382  	 00255292 
185.0  	 -0.89773  	 00.39829  	 00.03981  	 00159238 
185.1  	 -0.87285  	 00.39988  	 00.01589  	 00063561 
185.2  	 -0.84019  	 00.39910  	 -0.00786  	 -0031456 
185.3  	 -0.80145  	 00.39596  	 -0.03139  	 -0125542 
185.4  	 -0.75822  	 00.39050  	 -0.05460  	 -0218417 
185.5  	 -0.71194  	 00.38275  	 -0.07745  	 -0309797 
185.6  	 -0.66373  	 00.37277  	 -0.09984  	 -0399376 
185.7  	 -0.61447  	 00.36060  	 -0.12171  	 -0486828 
185.8  	 -0.56461  	 00.34630  	 -0.14295  	 -0571801 
185.9  	 -0.51430  	 00.32995  	 -0.16348  	 -0653916 
186.0  	 -0.46341  	 00.31163  	 -0.18319  	 -0732770 
186.1  	 -0.41146  	 00.29144  	 -0.20198  	 -0807936 
186.2  	 -0.35782  	 00.26946  	 -0.21974  	 -0878967 
186.3  	 -0.30174  	 00.24583  	 -0.23635  	 -0945404 
186.4  	 -0.24239  	 00.22066  	 -0.25170  	 -1006781 
186.5  	 -0.17900  	 00.19409  	 -0.26566  	 -1062637 
186.6  	 -0.11088  	 00.16628  	 -0.27813  	 -1112524 
186.7  	 -0.03748  	 00.13738  	 -0.28900  	 -1156012 
186.8  	 00.04148  	 00.10756  	 -0.29818  	 -1192708 
186.9  	 00.12615  	 00.07700  	 -0.30556  	 -1222258 
187.0  	 00.21635  	 00.04589  	 -0.31109  	 -1244363 
187.1  	 00.31173  	 00.01442  	 -0.31470  	 -1258782 
187.2  	 00.41170  	 -0.01721  	 -0.31634  	 -1265346 
187.3  	 00.51548  	 -0.04881  	 -0.31599  	 -1263960 
187.4  	 00.62213  	 -0.08017  	 -0.31365  	 -1254611 
187.5  	 00.73061  	 -0.11111  	 -0.30934  	 -1237363 
187.6  	 00.83977  	 -0.14142  	 -0.30309  	 -1212366 
187.7  	 00.94839  	 -0.17091  	 -0.29496  	 -1179843 
187.8  	 01.05527  	 -0.19941  	 -0.28502  	 -1140091 
187.9  	 01.15914  	 -0.22675  	 -0.27337  	 -1093473 
188.0  	 01.25872  	 -0.25276  	 -0.26010  	 -1040399 
188.1  	 01.35278  	 -0.27729  	 -0.24533  	 -0981326 
188.2  	 01.44004  	 -0.30021  	 -0.22918  	 -0916734 
188.3  	 01.51925  	 -0.32139  	 -0.21178  	 -0847120 
188.4  	 01.58914  	 -0.34072  	 -0.19325  	 -0772985 
188.5  	 01.64846  	 -0.35809  	 -0.17370  	 -0694819 
188.6  	 01.69599  	 -0.37341  	 -0.15327  	 -0613091 
188.7  	 01.73053  	 -0.38662  	 -0.13206  	 -0528243 
188.8  	 01.75099  	 -0.39764  	 -0.11017  	 -0440685 
188.9  	 01.75638  	 -0.40641  	 -0.08770  	 -0350792 
189.0  	 01.74585  	 -0.41288  	 -0.06472  	 -0258898 
189.1  	 01.71879  	 -0.41701  	 -0.04133  	 -0165308 
189.2  	 01.67484  	 -0.41877  	 -0.01757  	 -0070297 
189.3  	 01.61391  	 -0.41812  	 00.00647  	 00025879 
189.4  	 01.53632  	 -0.41505  	 00.03074  	 00122974 
189.5  	 01.44275  	 -0.40953  	 00.05518  	 00220739 
189.6  	 01.33418  	 -0.40156  	 00.07973  	 00318908 
189.7  	 01.21211  	 -0.39113  	 00.10430  	 00417186 
189.8  	 01.07824  	 -0.37825  	 00.12881  	 00515233 
189.9  	 00.93474  	 -0.36293  	 00.15316  	 00612655 
190.0  	 00.78389  	 -0.34520  	 00.17725  	 00708990 
190.1  	 00.62818  	 -0.32511  	 00.20093  	 00803705 
190.2  	 00.47022  	 -0.30271  	 00.22405  	 00896186 
190.3  	 00.31251  	 -0.27806  	 00.24644  	 00985747 
190.4  	 00.15748  	 -0.25127  	 00.26791  	 01071626 
190.5  	 00.00738  	 -0.22245  	 00.28825  	 01153002 
190.6  	 -0.13597  	 -0.19172  	 00.30725  	 01228999 
190.7  	 -0.27097  	 -0.15926  	 00.32468  	 01298706 
190.8  	 -0.39658  	 -0.12523  	 00.34030  	 01361194 
190.9  	 -0.51208  	 -0.08984  	 00.35388  	 01415535 
191.0  	 -0.61726  	 -0.05332  	 00.36521  	 01460823 
191.1  	 -0.71233  	 -0.01591  	 00.37405  	 01496201 
191.2  	 -0.79785  	 00.02211  	 00.38022  	 01520874 
191.3  	 -0.87473  	 00.06046  	 00.38354  	 01534142 
191.4  	 -0.94404  	 00.09885  	 00.38385  	 01535412 
191.5  	 -1.00702  	 00.13695  	 00.38106  	 01524225 
191.6  	 -1.06499  	 00.17446  	 00.37507  	 01500271 
191.7  	 -1.11919  	 00.21105  	 00.36585  	 01463405 
191.8  	 -1.17074  	 00.24639  	 00.35341  	 01413658 
191.9  	 -1.22059  	 00.28017  	 00.33781  	 01351246 
192.0  	 -1.26940  	 00.31208  	 00.31914  	 01276571 
192.1  	 -1.31762  	 00.34184  	 00.29756  	 01190221 
192.2  	 -1.36536  	 00.36916  	 00.27324  	 01092960 
192.3  	 -1.41249  	 00.39381  	 00.24643  	 00985712 
192.4  	 -1.45860  	 00.41554  	 00.21739  	 00869547 
192.5  	 -1.50308  	 00.43419  	 00.18641  	 00745656 
192.6  	 -1.54517  	 00.44957  	 00.15383  	 00615322 
192.7  	 -1.58396  	 00.46157  	 00.11997  	 00479894 
192.8  	 -1.61854  	 00.47009  	 00.08519  	 00340759 
192.9  	 -1.64794  	 00.47507  	 00.04983  	 00199308 
193.0  	 -1.67128  	 00.47649  	 00.01423  	 00056914 
193.1  	 -1.68774  	 00.47436  	 -0.02127  	 -0085097 
193.2  	 -1.69658  	 00.46873  	 -0.05637  	 -0225462 
193.3  	 -1.69721  	 00.45965  	 -0.09075  	 -0363003 
193.4  	 -1.68913  	 00.44724  	 -0.12416  	 -0496635 
193.5  	 -1.67195  	 00.43160  	 -0.15634  	 -0625374 
193.6  	 -1.64537  	 00.41289  	 -0.18709  	 -0748345 
193.7  	 -1.60917  	 00.39127  	 -0.21619  	 -0864772 
193.8  	 -1.56316  	 00.36692  	 -0.24350  	 -0973983 
193.9  	 -1.50727  	 00.34004  	 -0.26885  	 -1075397 
194.0  	 -1.44136  	 00.31083  	 -0.29213  	 -1168521 
194.1  	 -1.36541  	 00.27950  	 -0.31323  	 -1252932 
194.2  	 -1.27942  	 00.24630  	 -0.33207  	 -1328273 
194.3  	 -1.18344  	 00.21144  	 -0.34856  	 -1394239 
194.4  	 -1.07764  	 00.17518  	 -0.36264  	 -1450569 
194.5  	 -0.96235  	 00.13775  	 -0.37426  	 -1497039 
194.6  	 -0.83797  	 00.09941  	 -0.38336  	 -1533453 
194.7  	 -0.70519  	 00.06042  	 -0.38991  	 -1559642 
194.8  	 -0.56485  	 00.02104  	 -0.39387  	 -1575464 
194.9  	 -0.41803  	 -0.01848  	 -0.39520  	 -1580806 
195.0  	 -0.26612  	 -0.05787  	 -0.39390  	 -1575589 
195.1  	 -0.11058  	 -0.09687  	 -0.38994  	 -1559776 
195.2  	 00.04677  	 -0.13520  	 -0.38335  	 -1533385 
195.3  	 00.20415  	 -0.17262  	 -0.37412  	 -1496498 
195.4  	 00.35958  	 -0.20885  	 -0.36232  	 -1449278 
195.5  	 00.51110  	 -0.24365  	 -0.34799  	 -1391974 
195.6  	 00.65691  	 -0.27677  	 -0.33123  	 -1324936 
195.7  	 00.79531  	 -0.30799  	 -0.31216  	 -1248625 
195.8  	 00.92488  	 -0.33708  	 -0.29090  	 -1163615 
195.9  	 01.04454  	 -0.36384  	 -0.26765  	 -1070591 
196.0  	 01.15355  	 -0.38810  	 -0.24259  	 -0970350 
196.1  	 01.25164  	 -0.40969  	 -0.21595  	 -0863789 
196.2  	 01.33891  	 -0.42849  	 -0.18797  	 -0751896 
196.3  	 01.41593  	 -0.44439  	 -0.15893  	 -0635729 
196.4  	 01.48359  	 -0.45730  	 -0.12910  	 -0516400 
196.5  	 01.54311  	 -0.46717  	 -0.09876  	 -0395054 
196.6  	 01.59591  	 -0.47399  	 -0.06821  	 -0272844 
196.7  	 01.64351  	 -0.47777  	 -0.03773  	 -0150908 
196.8  	 01.68743  	 -0.47852  	 -0.00759  	 -0030352 
196.9  	 01.72903  	 -0.47633  	 00.02194  	 00087776 
197.0  	 01.76948  	 -0.47127  	 00.05063  	 00202502 
197.1  	 01.80954  	 -0.46344  	 00.07824  	 00312944 
197.2  	 01.84956  	 -0.45299  	 00.10458  	 00418325 
197.3  	 01.88941  	 -0.44004  	 00.12950  	 00517981 
197.4  	 01.92845  	 -0.42475  	 00.15284  	 00611371 
197.5  	 01.96553  	 -0.40730  	 00.17452  	 00698080 
197.6  	 01.99901  	 -0.38785  	 00.19445  	 00777820 
197.7  	 02.02689  	 -0.36659  	 00.21261  	 00850427 
197.8  	 02.04687  	 -0.34370  	 00.22896  	 00915859 
197.9  	 02.05647  	 -0.31934  	 00.24355  	 00974187 
198.0  	 02.05315  	 -0.29370  	 00.25640  	 01025588 
198.1  	 02.03452  	 -0.26694  	 00.26758  	 01070332 
198.2  	 01.99842  	 -0.23923  	 00.27719  	 01108768 
198.3  	 01.94305  	 -0.21069  	 00.28533  	 01141305 
198.4  	 01.86710  	 -0.18148  	 00.29210  	 01168399 
198.5  	 01.76986  	 -0.15172  	 00.29763  	 01190534 
198.6  	 01.65120  	 -0.12151  	 00.30205  	 01208204 
198.7  	 01.51174  	 -0.09097  	 00.30547  	 01221890 
198.8  	 01.35261  	 -0.06017  	 00.30801  	 01232043 
198.9  	 01.17565  	 -0.02919  	 00.30977  	 01239064 
199.0  	 00.98322  	 00.00189  	 00.31082  	 01243292 
199.1  	 00.77802  	 00.03302  	 00.31125  	 01244986 
199.2  	 00.56324  	 00.06413  	 00.31108  	 01244318 
199.3  	 00.34206  	 00.09516  	 00.31034  	 01241363 
199.4  	 00.11788  	 00.12606  	 00.30902  	 01236091 
199.5  	 -0.10602  	 00.15677  	 00.30709  	 01228374 
199.6  	 -0.32659  	 00.18722  	 00.30450  	 01217983 
199.7  	 -0.54094  	 00.21734  	 00.30115  	 01204594 
199.8  	 -0.74667  	 00.24703  	 00.29695  	 01187798 
199.9  	 -0.94166  	 00.27621  	 00.29178  	 01167109 
200.0  	 -1.12427  	 00.30476  	 00.28549  	 01141977 
200.1  	 -1.29332  	 00.33255  	 00.27795  	 01111804 
200.2  	 -1.44796  	 00.35945  	 00.26899  	 01075952 
200.3  	 -1.58779  	 00.38530  	 00.25844  	 01033769 
200.4  	 -1.71261  	 00.40991  	 00.24615  	 00984601 
200.5  	 -1.82249  	 00.43311  	 00.23195  	 00927809 
200.6  	 -1.91767  	 00.45468  	 00.21570  	 00862790 
200.7  	 -1.99839  	 00.47440  	 00.19725  	 00788999 
200.8  	 -2.06503  	 00.49205  	 00.17649  	 00705971 
200.9  	 -2.11779  	 00.50738  	 00.15334  	 00613342 
201.0  	 -2.15685  	 00.52016  	 00.12772  	 00510875 
201.1  	 -2.18226  	 00.53012  	 00.09962  	 00398478 
201.2  	 -2.19397  	 00.53702  	 00.06906  	 00276231 
201.3  	 -2.19179  	 00.54063  	 00.03610  	 00144399 
201.4  	 -2.17549  	 00.54072  	 00.00086  	 00003455 
201.5  	 -2.14480  	 00.53707  	 -0.03648  	 -0145920 
201.6  	 -2.09943  	 00.52950  	 -0.07571  	 -0302825 
201.7  	 -2.03918  	 00.51785  	 -0.11654  	 -0466141 
201.8  	 -1.96399  	 00.50198  	 -0.15863  	 -0634540 
201.9  	 -1.87400  	 00.48182  	 -0.20162  	 -0806499 
202.0  	 -1.76956  	 00.45731  	 -0.24508  	 -0980318 
202.1  	 -1.65129  	 00.42846  	 -0.28854  	 -1154144 
202.2  	 -1.52017  	 00.39531  	 -0.33150  	 -1325996 
202.3  	 -1.37740  	 00.35797  	 -0.37345  	 -1493792 
202.4  	 -1.22457  	 00.31658  	 -0.41384  	 -1655371 
202.5  	 -1.06356  	 00.27137  	 -0.45213  	 -1808532 
202.6  	 -0.89642  	 00.22259  	 -0.48776  	 -1951049 
202.7  	 -0.72548  	 00.17048  	 -0.52109  	 -2000000 
202.8  	 -0.55316  	 00.11500  	 -0.55486  	 -1982474 
202.9  	 -0.38197  	 00.05592  	 -0.59076  	 -1862008 
203.0  	 -0.21447  	 -0.00696  	 -0.62884  	 -1749255 
203.1  	 -0.05301  	 -0.07367  	 -0.66707  	 -1649001 
203.2  	 00.10006  	 -0.14398  	 -0.70313  	 -1564429 
203.3  	 00.24275  	 -0.21744  	 -0.73452  	 -1497574 
203.4  	 00.37326  	 -0.29330  	 -0.75866  	 -1449924 
203.5  	 00.49014  	 -0.37060  	 -0.77299  	 -1423054 
203.6  	 00.59238  	 -0.44810  	 -0.77502  	 -1419320 
203.7  	 00.67929  	 -0.52435  	 -0.76243  	 -1442758 
203.8  	 00.75062  	 -0.59765  	 -0.73304  	 -1500597 
203.9  	 00.80654  	 -0.66613  	 -0.68478  	 -1606345 
204.0  	 00.84759  	 -0.72767  	 -0.61543  	 -1787365 
204.1  	 00.87468  	 -0.77992  	 -0.52251  	 -2000000 
204.2  	 00.88906  	 -0.82167  	 -0.41744  	 -1669780 
204.3  	 00.89222  	 -0.85318  	 -0.31509  	 -1260360 
204.4  	 00.88589  	 -0.87491  	 -0.21732  	 -0869286 
204.5  	 00.87191  	 -0.88743  	 -0.12518  	 -0500714 
204.6  	 00.85224  	 -0.89137  	 -0.03942  	 -0157669 
204.7  	 00.82884  	 -0.88742  	 00.03948  	 00157915 
204.8  	 00.80362  	 -0.87629  	 00.11127  	 00445095 
204.9  	 00.77840  	 -0.85870  	 00.17595  	 00703803 
205.0  	 00.75479  	 -0.83533  	 00.23367  	 00934698 
205.1  	 00.73423  	 -0.80685  	 00.28475  	 01139013 
205.2  	 00.71785  	 -0.77389  	 00.32960  	 01318401 
205.3  	 00.70654  	 -0.73702  	 00.36870  	 01474788 
205.4  	 00.70085  	 -0.69677  	 00.40256  	 01610236 
205.5  	 00.70102  	 -0.65360  	 00.43171  	 01726832 
205.6  	 00.70693  	 -0.60793  	 00.45665  	 01826583 
205.7  	 00.71821  	 -0.56015  	 00.47783  	 01911339 
205.8  	 00.73408  	 -0.51058  	 00.49569  	 01982745 
205.9  	 00.75357  	 -0.45947  	 00.51114  	 02000000 
206.0  	 00.77540  	 -0.40689  	 00.52574  	 02000000 
206.1  	 00.79814  	 -0.35295  	 00.53938  	 02000000 
206.2  	 00.82011  	 -0.29777  	 00.55184  	 01993336 
206.3  	 00.83960  	 -0.24140  	 00.56373  	 01951280 
206.4  	 00.85475  	 -0.18388  	 00.57519  	 01912420 
206.5  	 00.86376  	 -0.12532  	 00.58563  	 01878327 
206.6  	 00.86484  	 -0.06588  	 00.59437  	 01850687 
206.7  	 00.85631  	 -0.00581  	 00.60066  	 01831332 
206.8  	 00.83670  	 00.05455  	 00.60362  	 01822335 
206.9  	 00.80472  	 00.11478  	 00.60234  	 01826197 
207.0  	 00.75943  	 00.17437  	 00.59583  	 01846167 
207.1  	 00.70018  	 00.23267  	 00.58299  	 01886812 
207.2  	 00.62675  	 00.28893  	 00.56264  	 01955055 
207.3  	 00.53931  	 00.34231  	 00.53384  	 02000000 
207.4  	 00.43855  	 00.39221  	 00.49895  	 01995795 
207.5  	 00.32565  	 00.43833  	 00.46115  	 01844620 
207.6  	 00.20222  	 00.48065  	 00.42323  	 01692924 
207.7  	 00.07042  	 00.51918  	 00.38533  	 01541337 
207.8  	 -0.06724  	 00.55394  	 00.34760  	 01390392 
207.9  	 -0.20776  	 00.58495  	 00.31013  	 01240505 
208.0  	 -0.34786  	 00.61225  	 00.27299  	 01091969 
208.1  	 -0.48405  	 00.63588  	 00.23623  	 00944936 
208.2  	 -0.61264  	 00.65586  	 00.19985  	 00799418 
208.3  	 -0.73006  	 00.67224  	 00.16382  	 00655282 
208.4  	 -0.83274  	 00.68505  	 00.12806  	 00512258 
208.5  	 -0.91746  	 00.69430  	 00.09249  	 00369948 
208.6  	 -0.98142  	 00.70000  	 00.05696  	 00227846 
208.7  	 -1.02232  	 00.70213  	 00.02134  	 00085362 
208.8  	 -1.03855  	 00.70068  	 -0.01454  	 -0058144 
208.9  	 -1.02924  	 00.69559  	 -0.05083  	 -0203325 
209.0  	 -0.99441  	 00.68682  	 -0.08770  	 -0350794 
209.1  	 -0.93488  	 00.67430  	 -0.12527  	 -0501071 
209.2  	 -0.85237  	 00.65793  	 -0.16363  	 -0654525 
209.3  	 -0.74944  	 00.63765  	 -0.20283  	 -0811310 
209.4  	 -0.62941  	 00.61337  	 -0.24283  	 -0971315 
209.5  	 -0.49621  	 00.58501  	 -0.28353  	 -1134114 
209.6  	 -0.35427  	 00.55254  	 -0.32473  	 -1298934 
209.7  	 -0.20833  	 00.51593  	 -0.36616  	 -1464638 
209.8  	 -0.06319  	 00.47518  	 -0.40743  	 -1629725 
209.9  	 00.07642  	 00.43037  	 -0.44809  	 -1792354 
210.0  	 00.20608  	 00.38161  	 -0.48760  	 -1950380 
210.1  	 00.32194  	 00.32895  	 -0.52661  	 -2000000 
210.2  	 00.42082  	 00.27209  	 -0.56859  	 -1934595 
210.3  	 00.50039  	 00.21040  	 -0.61695  	 -1782958 
210.4  	 00.55927  	 00.14332  	 -0.67073  	 -1640006 
210.5  	 00.59706  	 00.07056  	 -0.72762  	 -1511779 
210.6  	 00.61440  	 -0.00793  	 -0.78490  	 -1401448 
210.7  	 00.61282  	 -0.09189  	 -0.83959  	 -1310168 
210.8  	 00.59474  	 -0.18074  	 -0.88854  	 -1237993 
210.9  	 00.56324  	 -0.27360  	 -0.92856  	 -1184624 
211.0  	 00.52193  	 -0.36925  	 -0.95655  	 -1149967 
211.1  	 00.47465  	 -0.46620  	 -0.96952  	 -1134578 
211.2  	 00.42535  	 -0.56268  	 -0.96478  	 -1140153 
211.3  	 00.37777  	 -0.65668  	 -0.93998  	 -1170235 
211.4  	 00.33522  	 -0.74600  	 -0.89318  	 -1231552 
211.5  	 00.30044  	 -0.82828  	 -0.82281  	 -1336885 
211.6  	 00.27540  	 -0.90102  	 -0.72741  	 -1512208 
211.7  	 00.26119  	 -0.96151  	 -0.60492  	 -1818433 
211.8  	 00.25798  	 -1.00708  	 -0.45564  	 -1822544 
211.9  	 00.26502  	 -1.03796  	 -0.30885  	 -1235382 
212.0  	 00.28068  	 -1.05531  	 -0.17353  	 -0694126 
212.1  	 00.30259  	 -1.06040  	 -0.05092  	 -0203662 
212.2  	 00.32777  	 -1.05457  	 00.05834  	 00233375 
212.3  	 00.35284  	 -1.03916  	 00.15409  	 00616357 
212.4  	 00.37427  	 -1.01550  	 00.23659  	 00946372 
212.5  	 00.38854  	 -0.98485  	 00.30648  	 01225905 
212.6  	 00.39241  	 -0.94839  	 00.36463  	 01458538 
212.7  	 00.38314  	 -0.90717  	 00.41216  	 01648649 
212.8  	 00.35861  	 -0.86215  	 00.45029  	 01801145 
212.9  	 00.31754  	 -0.81412  	 00.48030  	 01921207 
213.0  	 00.25947  	 -0.76376  	 00.50361  	 02000000 
213.1  	 00.18485  	 -0.71144  	 00.52317  	 02000000 
213.2  	 00.09502  	 -0.65738  	 00.54061  	 02000000 
213.3  	 -0.00794  	 -0.60173  	 00.55648  	 01976699 
213.4  	 -0.12123  	 -0.54445  	 00.57280  	 01920388 
213.5  	 -0.24155  	 -0.48543  	 00.59019  	 01863818 
213.6  	 -0.36536  	 -0.42455  	 00.60885  	 01806688 
213.7  	 -0.48891  	 -0.36166  	 00.62887  	 01749182 
213.8  	 -0.60865  	 -0.29664  	 00.65015  	 01691921 
213.9  	 -0.72125  	 -0.22940  	 00.67242  	 01635872 
214.0  	 -0.82379  	 -0.15988  	 00.69521  	 01582248 
214.1  	 -0.91406  	 -0.08810  	 00.71783  	 01532396 
214.2  	 -0.99036  	 -0.01416  	 00.73938  	 01487725 
214.3  	 -1.05181  	 00.06172  	 00.75879  	 01449668 
214.4  	 -1.09815  	 00.13920  	 00.77481  	 01419702 
214.5  	 -1.12982  	 00.21781  	 00.78604  	 01399420 
214.6  	 -1.14778  	 00.29690  	 00.79098  	 01390678 
214.7  	 -1.15347  	 00.37571  	 00.78806  	 01395833 
214.8  	 -1.14858  	 00.45328  	 00.77566  	 01418145 
214.9  	 -1.13498  	 00.52849  	 00.75215  	 01462466 
215.0  	 -1.11450  	 00.60008  	 00.71588  	 01536565 
215.1  	 -1.08886  	 00.66659  	 00.66509  	 01653904 
215.2  	 -1.05952  	 00.72636  	 00.59770  	 01840385 
215.3  	 -1.02753  	 00.77752  	 00.51157  	 02000000 
215.4  	 -0.99361  	 00.81945  	 00.41930  	 01677201 
215.5  	 -0.95804  	 00.85257  	 00.33121  	 01324844 
215.6  	 -0.92063  	 00.87737  	 00.24804  	 00992175 
215.7  	 -0.88092  	 00.89438  	 00.17011  	 00680439 
215.8  	 -0.83813  	 00.90414  	 00.09757  	 00390274 
215.9  	 -0.79129  	 00.90718  	 00.03043  	 00121734 
216.0  	 -0.73942  	 00.90404  	 -0.03141  	 -0125655 
216.1  	 -0.68151  	 00.89522  	 -0.08821  	 -0352833 
216.2  	 -0.61679  	 00.88119  	 -0.14028  	 -0561117 
216.3  	 -0.54464  	 00.86239  	 -0.18803  	 -0752111 
216.4  	 -0.46488  	 00.83920  	 -0.23190  	 -0927607 
216.5  	 -0.37761  	 00.81196  	 -0.27237  	 -1089486 
216.6  	 -0.28336  	 00.78097  	 -0.30990  	 -1239616 
216.7  	 -0.18308  	 00.74648  	 -0.34494  	 -1379767 
216.8  	 -0.07801  	 00.70869  	 -0.37788  	 -1511520 
216.9  	 00.03031  	 00.66778  	 -0.40905  	 -1636201 
217.0  	 00.14004  	 00.62391  	 -0.43871  	 -1754821 
217.1  	 00.24932  	 00.57721  	 -0.46701  	 -1868033 
217.2  	 00.35622  	 00.52781  	 -0.49403  	 -1976120 
217.3  	 00.45889  	 00.47572  	 -0.52091  	 -2000000 
217.4  	 00.55561  	 00.42074  	 -0.54981  	 -2000000 
217.5  	 00.64487  	 00.36250  	 -0.58236  	 -1888874 
217.6  	 00.72550  	 00.30051  	 -0.61990  	 -1774482 
217.7  	 00.79659  	 00.23437  	 -0.66142  	 -1663081 
217.8  	 00.85760  	 00.16382  	 -0.70549  	 -1559191 
217.9  	 00.90829  	 00.08879  	 -0.75033  	 -1466015 
218.0  	 00.94873  	 00.00940  	 -0.79389  	 -1385579 
218.1  	 00.97924  	 -0.07399  	 -0.83392  	 -1319071 
218.2  	 01.00035  	 -0.16080  	 -0.86804  	 -1267228 
218.3  	 01.01276  	 -0.25018  	 -0.89379  	 -1230717 
218.4  	 01.01723  	 -0.34105  	 -0.90872  	 -1210494 
218.5  	 01.01460  	 -0.43209  	 -0.91044  	 -1208204 
218.6  	 01.00564  	 -0.52176  	 -0.89670  	 -1226719 
218.7  	 00.99116  	 -0.60831  	 -0.86543  	 -1271046 
218.8  	 00.97178  	 -0.68978  	 -0.81475  	 -1350103 
218.9  	 00.94812  	 -0.76407  	 -0.74290  	 -1480686 
219.0  	 00.92068  	 -0.82885  	 -0.64784  	 -1697961 
219.1  	 00.88985  	 -0.88153  	 -0.52673  	 -2000000 
219.2  	 00.85595  	 -0.92085  	 -0.39322  	 -1572892 
219.3  	 00.81926  	 -0.94756  	 -0.26706  	 -1068221 
219.4  	 00.78004  	 -0.96256  	 -0.15008  	 -0600306 
219.5  	 00.73854  	 -0.96687  	 -0.04308  	 -0172339 
219.6  	 00.69503  	 -0.96152  	 00.05349  	 00213975 
219.7  	 00.64983  	 -0.94757  	 00.13957  	 00558281 
219.8  	 00.60328  	 -0.92603  	 00.21535  	 00861393 
219.9  	 00.55580  	 -0.89790  	 00.28127  	 01125088 
220.0  	 00.50792  	 -0.86411  	 00.33797  	 01351890 
220.1  	 00.46013  	 -0.82548  	 00.38621  	 01544853 
220.2  	 00.41304  	 -0.78280  	 00.42684  	 01707349 
220.3  	 00.36727  	 -0.73673  	 00.46072  	 01842881 
220.4  	 00.32344  	 -0.68786  	 00.48873  	 01954906 
220.5  	 00.28221  	 -0.63665  	 00.51203  	 02000000 
220.6  	 00.24420  	 -0.58328  	 00.53375  	 02000000 
220.7  	 00.21000  	 -0.52786  	 00.55421  	 01984791 
220.8  	 00.18016  	 -0.47036  	 00.57497  	 01913131 
220.9  	 00.15514  	 -0.41070  	 00.59655  	 01843922 
221.0  	 00.13537  	 -0.34886  	 00.61841  	 01778744 
221.1  	 00.12113  	 -0.28488  	 00.63980  	 01719281 
221.2  	 00.11266  	 -0.21890  	 00.65978  	 01667224 
221.3  	 00.11002  	 -0.15118  	 00.67724  	 01624250 
221.4  	 00.11314  	 -0.08209  	 00.69092  	 01592070 
221.5  	 00.12178  	 -0.01214  	 00.69949  	 01572571 
221.6  	 00.13556  	 00.05801  	 00.70151  	 01568041 
221.7  	 00.15385  	 00.12756  	 00.69552  	 01581549 
221.8  	 00.17587  	 00.19557  	 00.68003  	 01617575 
221.9  	 00.20058  	 00.26092  	 00.65353  	 01683176 
222.0  	 00.22678  	 00.32236  	 00.61440  	 01790359 
222.1  	 00.25303  	 00.37844  	 00.56076  	 01961620 
222.2  	 00.27774  	 00.42779  	 00.49357  	 01974291 
222.3  	 00.29919  	 00.47015  	 00.42357  	 01694266 
222.4  	 00.31558  	 00.50575  	 00.35599  	 01423957 
222.5  	 00.32511  	 00.53488  	 00.29135  	 01165403 
222.6  	 00.32605  	 00.55789  	 00.23007  	 00920278 
